SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6518055-355776	6518055	355776	2906928000	1996	2	12	6.75	0.147	0.2	4.8	0.045	365	12	0.1464	0.3878	0.216928571
6518055-355776	6518055	355776	2909952000	1996	3	18	6.84	0.152	0.194	5.1	0.042	428	11	0.152018	0.357466	0.176428571
6518055-355776	6518055	355776	2912371200	1996	4	15	6.89	0.155	0.207	4.4	0.039	274	13	0.140679	0.330023	0.171428571
6518055-355776	6518055	355776	2915395200	1996	5	20	7.13	0.162	0.207	4.3	0.044	234	12	0.143679	0.355023	0.196285714
6518055-355776	6518055	355776	2917814400	1996	6	17	7.07	0.157	0.21	5.9	0.041	293	13	0.14837	0.36669	0.199071429
6518055-355776	6518055	355776	2920233600	1996	7	15	7.14	0.157	0.215	4.8	0.046	292	12	0.145855	0.347135	0.182142857
6518055-355776	6518055	355776	2922912000	1996	8	15	7.04	0.168	0.218	4.1	0.034	266	14	0.147546	0.376802	0.212
6518055-355776	6518055	355776	2925676800	1996	9	16	7.05	0.167	0.23	5	0.034	205	9	0.15231	0.35347	0.188357143
6518055-355776	6518055	355776	2928096000	1996	10	14	7.04	0.168	0.221	4	0.041	304	9	0.147237	0.364469	0.197285714
6518055-355776	6518055	355776	2931120000	1996	11	18	6.99	0.159	0.209	4	0.038	385	9	0.148473	0.370801	0.1965
6518055-355776	6518055	355776	2933539200	1996	12	16	6.9	0.135	0.205	4.4	0.04	352	8	0.144885	0.363245	0.194857143
6518055-355776	6518055	355776	2936131200	1997	1	15	6.79	0.159	0.207	5.2	0.043	453	6	0.146679	0.376023	0.198642857
6518055-355776	6518055	355776	2938982400	1997	2	17	6.9	0.171	0.21	4.8	0.037	361	8	0.15037	0.39269	0.218214286
6518055-355776	6518055	355776	2941401600	1997	3	17	6.92	0.148	0.201	4.4	0.046	342	9	0.142297	0.346689	0.181571429
6518055-355776	6518055	355776	2943820800	1997	4	14	7.13	0.149	0.2	5	0.044	333	8	0.1404	0.3508	0.188214286
6518055-355776	6518055	355776	2946412800	1997	5	14	7.1	0.153	0.209	5.1	0.045	334	6	0.143473	0.354801	0.189142857
6518055-355776	6518055	355776	2949264000	1997	6	16	7.07	0.164	0.206	5	0.042	210	14	0.142782	0.358134	0.202
6518055-355776	6518055	355776	2951683200	1997	7	14	7.11	0.162	0.202	5	0.035	229	11	0.140194	0.357578	0.202642857
6518055-355776	6518055	355776	2954707200	1997	8	18	7.19	0.173	0.202	5.7	0.034	125	14	0.140194	0.357578	0.210071429
6518055-355776	6518055	355776	2957126400	1997	9	15	7.08	0.176	0.208	6.1	0.036	152	11	0.140576	0.371912	0.222142857
6518055-355776	6518055	355776	2959545600	1997	10	13	7	0.171		5.5	0.039	227	12			
6518055-355776	6518055	355776	2962569600	1997	11	17	6.73	0.189	0.212	5.3	0.059	217	10	0.141164	0.384468	0.2295
6518055-355776	6518055	355776	2964988800	1997	12	15	6.98	0.171	0.211	5.2	0.035	332	5	0.144267	0.392579	0.226285714
6518055-355776	6518055	355776	2967580800	1998	1	14	6.99	0.163	0.195	4.5	0.041	340	4	0.144915	0.394355	0.226714286
6518055-355776	6518055	355776	2970432000	1998	2	16	6.94	0.163	0.198	4.7	0.047	337	9	0.147606	0.395022	0.224928571
6518055-355776	6518055	355776	2972851200	1998	3	16	6.96	0.154	0.212	4.7	0.035	370	5	0.145164	0.337468	0.167571429
6518055-355776	6518055	355776	2975443200	1998	4	15	7.08	0.159	0.212	4.8	0.048	342	9	0.142164	0.334468	0.169571429
6518055-355776	6518055	355776	2977862400	1998	5	13	7.02	0.153	0.192	5.1	0.046	316	9	0.139224	0.375688	0.215428571
6518055-355776	6518055	355776	2980713600	1998	6	15	7.05	0.165	0.199	5.2	0.042	292	7	0.139503	0.374911	0.216142857
6518055-355776	6518055	355776	2983305600	1998	7	15	6.88	0.169	0.191	5.7	0.039	270	14	0.135327	0.360799	0.207714286
6518055-355776	6518055	355776	2986156800	1998	8	17	7.09	0.146	0.195	4.8	0.043	202	9	0.135915	0.342355	0.193571429
6518055-355776	6518055	355776	2988662400	1998	9	15	6.98	0.17	0.197	4.2	0.027	231	9	0.132709	0.359133	0.2115
6518055-355776	6518055	355776	2991168000	1998	10	14	7.04	0.176	0.205	5.1	0.033	211	7	0.133885	0.360245	0.212928571
6518055-355776	6518055	355776	2994019200	1998	11	16	6.92	0.171	0.196	4.8	0.039	345	18	0.136812	0.365244	0.205357143
6518055-355776	6518055	355776	2996524800	1998	12	15	6.88	0.165	0.197	5	0.05	384	7	0.140709	0.369133	0.202571429
6518055-355776	6518055	355776	2999462400	1999	1	18	6.86	0.171	0.204	4.2	0.051	360	8	0.130988	0.363356	0.208285714
6518055-355776	6518055	355776	3001881600	1999	2	15	6.93	0.162	0.202	4.2	0.052	346	9	0.134194	0.360578	0.203285714
6518055-355776	6518055	355776	3004387200	1999	3	16	6.87	0.167	0.21	5.3	0.056	352	8	0.13037	0.34369	0.189857143
6518055-355776	6518055	355776	3006979200	1999	4	15	6.95	0.151	0.192	4.9	0.038	289	10	0.125224	0.337688	0.193357143
6518055-355776	6518055	355776	3009744000	1999	5	17	6.92	0.144	0.183	5	0.061	293	10	0.121151	0.338687	0.198071429
6518055-355776	6518055	355776	3012249600	1999	6	15	6.82	0.158	0.191	5.5	0.044	298	12	0.118327	0.330799	0.192714286
6518055-355776	6518055	355776	3014928000	1999	7	16	6.67	0.157	0.215	5.4	0.07	225	11	0.121855	0.299135	0.162928571
6518055-355776	6518055	355776	3017606400	1999	8	16	7.07	0.162	0.182	5.1	0.073	223	17	0.118254	0.332798	0.200071429
6518055-355776	6518055	355776	3020198400	1999	9	15	6.77	0.165	0.177	5.7	0.045	167	19	0.117769	0.340353	0.212071429
6518055-355776	6518055	355776	3022704000	1999	10	14	6.77	0.163	0.197	5.4	0.052	232	10	0.120709	0.326133	0.190428571
6518055-355776	6518055	355776	3025468800	1999	11	15	6.92	0.166	0.184	5	0.06	280	14	0.120048	0.321576	0.183
6518055-355776	6518055	355776	3027888000	1999	12	13	7.03	0.163	0.219	5.2	0.055	336	10	0.116443	0.318691	0.18
6518055-355776	6518055	355776	3030912000	2000	1	17	6.92	0.148	0.194	5.8	0.055	310	9	0.111018	0.323466	0.191857143
6518055-355776	6518055	355776	3033417600	2000	2	15	6.92	0.146	0.187	5.4	0.062	314	14	0.113739	0.331243	0.196571429
6518055-355776	6518055	355776	3035923200	2000	3	15	6.99	0.15	0.183	4.4	0.063	333	7	0.115151	0.340687	0.203214286
6518055-355776	6518055	355776	3038342400	2000	4	12	6.85	0.154	0.181	5.2	0.054	332	10	0.117357	0.344909	0.205285714
6518055-355776	6518055	355776	3041193600	2000	5	15	7.07	0.153	0.179	5.2	0.054	261	9	0.118563	0.344131	0.208357143
6518055-355776	6518055	355776	3043872000	2000	6	15	7.03	0.157	0.188	5.4	0.049	264	12	0.119636	0.338132	0.201142857
6518055-355776	6518055	355776	3046636800	2000	7	17	6.94	0.155	0.185	6.3	0.063	218	17	0.132945	0.340465	0.193428571
6518055-355776	6518055	355776	3049056000	2000	8	14	6.98	0.168	0.194	5.3	0.062	228	12	0.119018	0.331466	0.197714286
6518055-355776	6518055	355776	3051648000	2000	9	13	6.9	0.164	0.191	5.2	0.049	198	13	0.116327	0.361799	0.232857143
6518055-355776	6518055	355776	3054499200	2000	10	16	6.5	0.162	0.192	5.2	0.058	303	12	0.124224	0.382688	0.238357143
6518055-355776	6518055	355776	3057091200	2000	11	15	6.52	0.148	0.181	5.5	0.072	304	14	0.116357	0.334909	0.198285714
6518055-355776	6518055	355776	3059942400	2000	12	18	6.81	0.138	0.158	5.2	0.072	304	10	0.107726	0.339462	0.211285714
6518055-355776	6518055	355776	3062361600	2001	1	15	6.67	0.13	0.165	6.8	0.093	283	11	0.101005	0.307685	0.187785714
6518055-355776	6518055	355776	3065040000	2001	2	15	6.98	0.144	0.166	5.7	0.1	322	8	0.103902	0.351574	0.226
6518055-355776	6518055	355776	3067459200	2001	3	15	6.84	0.138	0.159	6.1	0.086	293	7	0.101623	0.348351	0.227071429
6518055-355776	6518055	355776	3070310400	2001	4	17	6.81	0.148	0.172	6.4	0.081	336	8	0.104284	0.329908	0.203
6518055-355776	6518055	355776	3072643200	2001	5	14	6.91	0.146	0.157	6.4	0.089	284	14	0.102829	0.339573	0.217714286
6518055-355776	6518055	355776	3075321600	2001	6	14	6.78	0.144	0.159	5.9	0.078	251	22	0.100623	0.344351	0.227071429
6518055-355776	6518055	355776	3077827200	2001	7	13	6.78	0.154	0.175	4.7	0.055	181	16	0.103975	0.347575	0.232071429
6518055-355776	6518055	355776	3080678400	2001	8	15	6.89	0.156	0.166	5.4	0.061	222	11	0.107902	0.373574	0.251142857
6518055-355776	6518055	355776	3083529600	2001	9	17	6.87	0.151	0.165	5.3	0.056	230	15	0.110005	0.354685	0.229571429
6518055-355776	6518055	355776	3085948800	2001	10	15	6.88	0.15	0.161	5	0.078	249	15	0.108417	0.371129	0.246214286
6518055-355776	6518055	355776	3088627200	2001	11	15	6.89	0.151	0.17	5.4	0.062	277	10	0.11149	0.34613	0.216214286
6518055-355776	6518055	355776	3091392000	2001	12	17	6.73	0.14	0.185	5.9	0.066	337	8	0.107945	0.325465	0.194928571
6518055-355776	6518055	355776	3093897600	2002	1	15	6.87	0.14	0.173	5.9	0.071	314	8	0.109181	0.348797	0.218571429
6518055-355776	6518055	355776	3096489600	2002	2	14	6.8	0.138	0.158	5.5	0.081	323	7	0.107726	0.353462	0.223928571
6518055-355776	6518055	355776	3098908800	2002	3	14	6.82	0.14	0.179	5.5	0.076	339	10	0.103563	0.334131	0.207785714
6518055-355776	6518055	355776	3101587200	2002	4	14	6.93	0.131	0.159	5.9	0.077	326	7	0.103623	0.346351	0.220714286
6518055-355776	6518055	355776	3104265600	2002	5	15	7.07	0.138	0.176	5.3	0.064	259	10	0.097872	0.327464	0.2125
6518055-355776	6518055	355776	3107116800	2002	6	17	6.89	0.149	0.169	5.4	0.058	202	15	0.100593	0.352241	0.238571429
6518055-355776	6518055	355776	3109536000	2002	7	15	6.91	0.155	0.176	6.2	0.057	190	14	0.101872	0.344464	0.230428571
6518055-355776	6518055	355776	3112214400	2002	8	15	6.87	0.164	0.158	6.3	0.054	167	12	0.098726	0.345462	0.236071429
6518055-355776	6518055	355776	3114979200	2002	9	16	6.99	0.159	0.163	5.2	0.08	165	14	0.109211	0.341907	0.222214286
6518055-355776	6518055	355776	3117484800	2002	10	15	6.96	0.159	0.164	5.1	0.058	222	11	0.106108	0.354796	0.234142857
6518055-355776	6518055	355776	3119990400	2002	11	13	6.91	0.157	0.165	5.1	0.046	282	8	0.104005	0.350685	0.227857143
6518055-355776	6518055	355776	3122841600	2002	12	16	6.74	0.158	0.178	5.1	0.053	303	10	0.104666	0.338242	0.213357143
6518055-355776	6518055	355776	3125433600	2003	1	15	6.71	0.164	0.165	5.2	0.059	292	11	0.110005	0.373685	0.244142857
6518055-355776	6518055	355776	3128284800	2003	2	17	6.71	0.165	0.173	5	0.064	397	8	0.106181	0.349797	0.216642857
6518055-355776	6518055	355776	3130704000	2003	3	17	6.75	0.152	0.175	5.2	0.06	402	8	0.109975	0.353575	0.216285714
6518055-355776	6518055	355776	3133209600	2003	4	15	6.97	0.153	0.168	5.8	0.071	259	11	0.106696	0.350352	0.2265
6518055-355776	6518055	355776	3135801600	2003	5	15	7.01	0.157	0.17	5.3	0.056	337	12	0.10749	0.33413	0.203928571
6518055-355776	6518055	355776	3138566400	2003	6	16	7.06	0.164	0.201	5.3	0.052	247	12	0.107297	0.322689	0.199357143
6518055-355776	6518055	355776	3141072000	2003	7	15	7.06	0.167	0.191	5.5	0.052	221	10	0.105327	0.322799	0.203214286
6518055-355776	6518055	355776	3143750400	2003	8	15	7.02	0.166	0.172	4.8	0.047	203	18	0.103284	0.330908	0.2145
6518055-355776	6518055	355776	3146428800	2003	9	15	7.08	0.17	0.186	4.4	0.043	188	11	0.102842	0.335354	0.220571429
6518055-355776	6518055	355776	3149107200	2003	10	16	7.09	0.17	0.185	4	0.038	263	10	0.103945	0.345465	0.224214286
6518055-355776	6518055	355776	3151612800	2003	11	14	6.98	0.169	0.177	5.6	0.04	269	11	0.106769	0.363353	0.238785714
6518055-355776	6518055	355776	3154291200	2003	12	15	7	0.169	0.187	4.2	0.05	311	10	0.110739	0.358243	0.226785714
6518055-355776	6518055	355776	3156969600	2004	1	15	6.86	0.161	0.188	5.4	0.049	409	8	0.114636	0.344132	0.201785714
6518055-355776	6518055	355776	3159734400	2004	2	16	6.6	0.167	0.175	5.2	0.058	327	7	0.115975	0.356575	0.218642857
6518055-355776	6518055	355776	3159734400	2004	2	16	6.8	0.18		4.8			7			
6518055-355776	6518055	355776	3162153600	2004	3	15	6.78	0.16	0.174	5.1	0.055	360	7	0.112078	0.349686	0.213285714
6518055-355776	6518055	355776	3164832000	2004	4	15	6.98	0.158	0.171	5	0.06	310	5	0.112387	0.338019	0.204857143
6518055-355776	6518055	355776	3164832000	2004	4	15	6.6	0.18		4.3			8			
6518055-355776	6518055	355776	3167596800	2004	5	17	7.07	0.17	0.191	4.4	0.058	281	9	0.110327	0.341799	0.212928571
6518055-355776	6518055	355776	3170102400	2004	6	15	7.13	0.166	0.169	5.2	0.047	258	16	0.111593	0.361241	0.232571429
6518055-355776	6518055	355776	3170102400	2004	6	15	6.8	0.2		5.3			13			
6518055-355776	6518055	355776	3172694400	2004	7	15	7	0.167	0.169	4.6	0.051	267	13	0.108593	0.351241	0.224928571
6518055-355776	6518055	355776	3175545600	2004	8	17	7.08	0.181	0.187	4.3	0.061	163	13	0.109739	0.335243	0.215357143
6518055-355776	6518055	355776	3175545600	2004	8	17	6.5	0.2		5			13			
6518055-355776	6518055	355776	3178051200	2004	9	15	6.93	0.178	0.176	4.5	0.049	180	13	0.109872	0.367464	0.246142857
6518055-355776	6518055	355776	3180556800	2004	10	14	6.74	0.178	0.171	5.2	0.051	236	12	0.111387	0.371019	0.244142857
6518055-355776	6518055	355776	3180556800	2004	10	14	7	0.19		4.6			17			
6518055-355776	6518055	355776	3183321600	2004	11	15	7.01	0.168	0.167	5.7	0.056	287	11	0.112799	0.359463	0.2275
6518055-355776	6518055	355776	3185913600	2004	12	15	6.99	0.169	0.165	4.6	0.051	270	7	0.108005	0.366685	0.240714286
6518055-355776	6518055	355776	3185913600	2004	12	15	6.8	0.23		4.8			9			
6518055-355776	6518055	355776	3188505600	2005	1	14	6.97	0.167	0.185	5.1	0.057	310	9	0.102945	0.351465	0.227857143
6518055-355776	6518055	355776	3191270400	2005	2	15	7.03	0.161	0.173	5.2	0.053	316	6	0.097181	0.338797	0.220428571
6518055-355776	6518055	355776	3191270400	2005	2	15	7	0.16		4.6			9			
6518055-355776	6518055	355776	3193689600	2005	3	15	6.91	0.165	0.165	5.2	0.054	277	5	0.099005	0.336685	0.219214286
6518055-355776	6518055	355776	3196368000	2005	4	15	7	0.163	0.174	5.3	0.053	291	6	0.095078	0.324686	0.210214286
6518055-355776	6518055	355776	3196368000	2005	4	15	6.7	0.19		5.2			5			
6518055-355776	6518055	355776	3199046400	2005	5	16	7.18	0.147	0.187	5.1	0.052	261	14	0.098739	0.327243	0.211357143
6518055-355776	6518055	355776	3201638400	2005	6	15	7.12	0.168	0.177	4.9	0.065	157	13	0.097769	0.329353	0.221785714
6518055-355776	6518055	355776	3201638400	2005	6	15	6.5	0.2		4.5			9			
6518055-355776	6518055	355776	3204230400	2005	7	15	6.99	0.174	0.182	5.2	0.039	200	15	0.101254	0.341798	0.227714286
6518055-355776	6518055	355776	3206908800	2005	8	15	6.97	0.151	0.185	3.9	0.044	150	14	0.099945	0.326465	0.217285714
6518055-355776	6518055	355776	3206908800	2005	8	15	7.2	0.2		4.8			10			
6518055-355776	6518055	355776	3209587200	2005	9	15	6.96	0.167	0.186	4.8	0.04	148	17	0.102842	0.326354	0.214428571
6518055-355776	6518055	355776	3212352000	2005	10	17	7.03	0.172	0.189	4.3	0.042	205	18	0.102533	0.349021	0.233357143
6518055-355776	6518055	355776	3212352000	2005	10	17	7.1	0.19		4.4			15			
6518055-355776	6518055	355776	3214944000	2005	11	16	7.03	0.172	0.185	6.8	0.042	324	18	0.106945	0.342465	0.213857143
6518055-355776	6518055	355776	3217190400	2005	12	12	6.8	0.184	0.186	4.6	0.053	344	12	0.108842	0.336354	0.204428571
6518055-355776	6518055	355776	3217190400	2005	12	12	6.8	0.3		5			13			
6518055-355776	6518055	355776	3220214400	2006	1	16	6.81	0.174	0.189	5.3	0.044	398	13	0.105533	0.335021	0.202571429
6518055-355776	6518055	355776	3222633600	2006	2	13	6.85	0.17	0.167	5.2	0.048	327	11	0.104799	0.352463	0.225642857
6518055-355776	6518055	355776	3222633600	2006	2	13	6.9	0.18		4.8			10			
6518055-355776	6518055	355776	3225225600	2006	3	15	6.71	0.156	0.171	5.1	0.052	354	7	0.106387	0.354019	0.223714286
6518055-355776	6518055	355776	3228163200	2006	4	18	6.76	0.161	0.179	5.6	0.052	340	11	0.103563	0.340131	0.213714286
6518055-355776	6518055	355776	3228163200	2006	4	18	6.9	0.15		5			5			
6518055-355776	6518055	355776	3230496000	2006	5	15	6.94	0.159	0.167	5.5	0.056	345	11	0.105799	0.334463	0.205357143
6518055-355776	6518055	355776	3233088000	2006	6	14	7.14	0.173	0.167	5.2	0.059	228	15	0.096799	0.348463	0.236714286
6518055-355776	6518055	355776	3233088000	2006	6	14	7.3	0.17		5.7			12			
6518055-355776	6518055	355776	3235334400	2006	7	10	7.18	0.189	0.178	5.6	0.043	192	15	0.099666	0.328242	0.216285714
6518055-355776	6518055	355776	3238444800	2006	8	15	7.09	0.184	0.196	4.9	0.036	115	16	0.097812	0.338244	0.233785714
6518055-355776	6518055	355776	3238444800	2006	8	15	7.1	0.16		4.8			15			
6518055-355776	6518055	355776	3241036800	2006	9	14	6.94	0.166	0.183	5.3	0.05	173	13	0.101151	0.315687	0.203642857
6518055-355776	6518055	355776	3243801600	2006	10	16	6.79	0.16	0.18	5.6	0.049	255	12	0.10646	0.33802	0.214785714
6518055-355776	6518055	355776	3243801600	2006	10	16	6.9	0.16		5			7			
6518055-355776	6518055	355776	3246393600	2006	11	15	6.74	0.167	0.173	5.7	0.06	339	10	0.104181	0.339797	0.212785714
6518055-355776	6518055	355776	3248899200	2006	12	14	6.76	0.155	0.169	6.1	0.064	261	9	0.100593	0.345241	0.227357143
6518055-355776	6518055	355776	3248899200	2006	12	14	6.9	0.16		5.8			3			
6518055-355776	6518055	355776	3251664000	2007	1	15	6.88	0.156	0.165	5.5	0.055	333	8	0.086005	0.324685	0.216214286
6518055-355776	6518055	355776	3254083200	2007	2	12	6.92	0.155	0.173	5.2	0.067	321	6	0.090181	0.293797	0.182071429
6518055-355776	6518055	355776	3254083200	2007	2	12	7	0.14		5.3			1			
6518055-355776	6518055	355776	3256761600	2007	3	15	6.93	0.15	0.168	5.4	0.058	305	7	0.089696	0.318352	0.208214286
6518055-355776	6518055	355776	3259526400	2007	4	16	7.01	0.159	0.169	5.1	0.059	307	4	0.088593	0.322241	0.213071429
6518055-355776	6518055	355776	3259526400	2007	4	16	7	0.15		5.8			4			
6518055-355776	6518055	355776	3262032000	2007	5	15	7.13	0.172	0.188	5.4	0.053	280	7	0.092636	0.305132	0.194
6518055-355776	6518055	355776	3264624000	2007	6	14	7.07	0.172	0.189	5.5	0.059	205	7	0.093533	0.312021	0.205357143
6518055-355776	6518055	355776	3264624000	2007	6	14	7.2	0.17		5.8			6			
6518055-355776	6518055	355776	3267388800	2007	7	16	6.96	0.169	0.183	5.4	0.065	238	8	0.096151	0.317687	0.206
6518055-355776	6518055	355776	3269980800	2007	8	15	7.02	0.176	0.171	5.6	0.052	194	8	0.091387	0.326019	0.222142857
6518055-355776	6518055	355776	3269980800	2007	8	15	7.1	0.18		5.8			7			
6518055-355776	6518055	355776	3272572800	2007	9	14	6.87	0.186	0.183	5.5	0.05	206	12	0.091151	0.320687	0.216285714
6518055-355776	6518055	355776	3275424000	2007	10	17	6.93	0.167	0.165	5.2	0.055	277	10	0.097005	0.324685	0.209214286
6518055-355776	6518055	355776	3275424000	2007	10	17	7.1	0.16		5.6			11			
6518055-355776	6518055	355776	3277929600	2007	11	15	6.86	0.167	0.168	5.7	0.053	296	10	0.096696	0.336352	0.219857143
6518055-355776	6518055	355776	3280348800	2007	12	13	6.91	0.159	0.189	5.7	0.042	300	6	0.093533	0.307021	0.193571429
6518055-355776	6518055	355776	3280348800	2007	12	13	6.8	0.14		5.1			8			
6518055-355776	6518055	355776	3283200000	2008	1	15	6.94	0.158	0.183	5.4	0.052	305	8	0.095151	0.312687	0.197214286
6518055-355776	6518055	355776	3285792000	2008	2	14	6.73	0.157	0.173	5.7	0.064	349	6	0.085181	0.309797	0.201071429
6518055-355776	6518055	355776	3285792000	2008	2	14	6.9	0.14		5.4			3.1			
6518055-355776	6518055	355776	3288297600	2008	3	14	6.84	0.154	0.186	5.6	0.062	293	8	0.081842	0.295354	0.194071429
6518055-355776	6518055	355776	3291148800	2008	4	16	6.89	0.156	0.167	6.3	0.06	302	6	0.085799	0.323463	0.217428571
6518055-355776	6518055	355776	3291148800	2008	4	16	7.1	0.15		5.4			5			
6518055-355776	6518055	355776	3293654400	2008	5	15	6.92	0.175	0.18	6.7	0.062	252	10	0.08446	0.31402	0.213
6518055-355776	6518055	355776	3296073600	2008	6	12	6.84	0.18	0.172	5.6	0.056	208	14	0.089284	0.341908	0.239142857
6518055-355776	6518055	355776	3296073600	2008	6	12	7.1	0.17		5.7			14			
6518055-355776	6518055	355776	3298838400	2008	7	14	6.9	0.182	0.187	5.6	0.048	189	13	0.096739	0.328243	0.2195
6518055-355776	6518055	355776	3301344000	2008	8	12	6.98	0.168	0.166	5.4	0.052	213	11	0.097902	0.326574	0.214785714
6518055-355776	6518055	355776	3301344000	2008	8	12	6.9	0.15		5			12			
6518055-355776	6518055	355776	3304281600	2008	9	15	6.95	0.17	0.17	6.4	0.056	247	13	0.09749	0.33213	0.218357143
6518055-355776	6518055	355776	3306355200	2008	10	9	6.93	0.169	0.17	5.3	0.056	252	12	0.08949	0.33513	0.229
6518055-355776	6518055	355776	3306355200	2008	10	9	6.8	0.15		5.6			8.9			
6518055-355776	6518055	355776	3309465600	2008	11	14	6.87	0.168	0.193	5.9	0.071	280	9	0.092121	0.296577	0.186
6518055-355776	6518055	355776	3311798400	2008	12	11	6.94	0.163	0.168	5.9	0.068	348	7	0.091696	0.335352	0.220142857
6518055-355776	6518055	355776	3311798400	2008	12	11	7	0.15		4.1			3.8			
6518055-355776	6518055	355776	3315340800	2009	1	21	6.91	0.177	0.173	5.7	0.064	276	9	0.088181	0.343797	0.237285714
6518055-355776	6518055	355776	3318278400	2009	2	24	6.86	0.173	0.172	6.3	0.059	297	5	0.092284	0.339908	0.227785714
6518055-355776	6518055	355776	3318278400	2009	2	24	6.9	0.16		5.5			5.8			
6518055-355776	6518055	355776	3320006400	2009	3	16	6.81	0.164	0.172	6.6	0.068	310	6	0.092284	0.339908	0.226857143
6518055-355776	6518055	355776	3322684800	2009	4	16	6.94	0.155	0.166	6.3	0.061	308	6	0.083902	0.328574	0.224
6518055-355776	6518055	355776	3322684800	2009	4	16	7	0.16		4.7			5.6			
6518055-355776	6518055	355776	3325104000	2009	5	14	7.07	0.167	0.183	6.7	0.069	271	12	0.085151	0.298687	0.195642857
6518055-355776	6518055	355776	3328041600	2009	6	17	6.99	0.165	0.18	6.3	0.049	237	14	0.09046	0.31802	0.212071429
6518055-355776	6518055	355776	3328041600	2009	6	17	7	0.14		4.6			12			
6518055-355776	6518055	355776	3330288000	2009	7	13	6.94	0.165	0.168	6.1	0.051	235	11	0.086696	0.310352	0.208214286
6518055-355776	6518055	355776	3332880000	2009	8	12	7.08	0.164	0.171	6.9	0.05	230	12	0.085387	0.309019	0.208571429
6518055-355776	6518055	355776	3332880000	2009	8	12	6.9	0.14		5.2			12			
6518055-355776	6518055	355776	3335817600	2009	9	15	7.03	0.167	0.165	6.6	0.058	229	11	0.083005	0.330685	0.232642857
6518055-355776	6518055	355776	3338928000	2009	10	21	6.95	0.165	0.168	5.7	0.049	262	10	0.085696	0.289352	0.186285714
6518055-355776	6518055	355776	3338928000	2009	10	21	7	0.15		5.7			10			
6518055-355776	6518055	355776	3341174400	2009	11	16	6.97	0.163	0.177	6.2	0.051	271	13	0.084769	0.319353	0.216642857
6518055-355776	6518055	355776	3343161600	2009	12	9	6.87	0.163	0.173	6.2	0.057	290	7	0.090181	0.296797	0.187285714
6518055-355776	6518055	355776	3343161600	2009	12	9	7	0.14		5.6			6.4			
6518055-355776	6518055	355776	3346358400	2010	1	15	6.71	0.159	0.167	6.3	0.06	279	7	0.082799	0.316463	0.215071429
6518055-355776	6518055	355776	3348432000	2010	2	8	6.86	0.152	0.166	6.5	0.062	287	6	0.090902	0.302574	0.1925
6518055-355776	6518055	355776	3348432000	2010	2	8	6.8	0.13		5.7			8.8			
6518055-355776	6518055	355776	3351456000	2010	3	15	6.74	0.15	0.167	6.8	0.064	268	6	0.090799	0.297463	0.188857143
6518055-355776	6518055	355776	3354566400	2010	4	20	6.89	0.156	0.165	6.5	0.065	272	7	0.087005	0.322685	0.217571429
6518055-355776	6518055	355776	3354566400	2010	4	20	7	0.15		6.2			6.4			
6518055-355776	6518055	355776	3356899200	2010	5	17	7.05	0.168	0.166	6.2	0.061	274	9	0.081902	0.309574	0.209428571
6518055-355776	6518055	355776	3358972800	2010	6	10	6.91	0.168	0.167	6.4	0.056	238	10	0.083799	0.303463	0.204
6518055-355776	6518055	355776	3358972800	2010	6	10	6.9	0.15		5.7			7.5			
6518055-355776	6518055	355776	3361737600	2010	7	12	7.03	0.17	0.168	5.5	0.049	197	11	0.086696	0.306352	0.206928571
6518055-355776	6518055	355776	3364848000	2010	8	17	7.05	0.165	0.165	5.3	0.047	200	10	0.089005	0.285685	0.183714286
6518055-355776	6518055	355776	3364848000	2010	8	17	7	0.16		5.6			9.7			
6518055-355776	6518055	355776	3367353600	2010	9	15	7.04	0.162	0.164	6.9	0.055	207	13	0.088108	0.296796	0.195214286
6518055-355776	6518055	355776	3370291200	2010	10	19	6.97	0.165	0.16	6.2	0.057	232	10	0.08252	0.29724	0.199428571
6518055-355776	6518055	355776	3370291200	2010	10	19	6.9	0.16		6			9.8			
6518055-355776	6518055	355776	3372624000	2010	11	15	6.93	0.171	0.162	6.5	0.065	278	9	0.083314	0.324018	0.222142857
6518055-355776	6518055	355776	3375734400	2010	12	21	6.78	0.168	0.167	6.3	0.072	298	5	0.084799	0.313463	0.208714286
6518055-355776	6518055	355776	3375734400	2010	12	21	6.8	0.16		5.1			12			
6518055-355776	6518055	355776	3377721600	2011	1	13	6.98	0.167	0.168	6	0.063	302	6	0.087696	0.306352	0.198428571
6518055-355776	6518055	355776	3380745600	2011	2	17	6.79	0.19	0.167	6.5	0.077	299	6	0.084799	0.327463	0.222642857
6518055-355776	6518055	355776	3380745600	2011	2	17	6.8	0.17		6.4			8			
6518055-355776	6518055	355776	3383078400	2011	3	16	6.79	0.166	0.171	6.5	0.071	308	5	0.090387	0.317019	0.206
6518055-355776	6518055	355776	3386707200	2011	4	27	6.75	0.172	0.167	6	0.062	286	6	0.086799	0.323463	0.217571429
6518055-355776	6518055	355776	3386707200	2011	4	27	7.2	0.17		6.7			8.3			
